frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"85","Apr 24, 2024 14:01:16.844686000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"86","Apr 24, 2024 14:01:16.844686000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"87","Apr 24, 2024 14:01:16.844686000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"88","Apr 24, 2024 14:01:16.844745000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"89","Apr 24, 2024 14:01:16.844745000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"90","Apr 24, 2024 14:01:16.844877000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"91","Apr 24, 2024 14:01:16.844877000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"92","Apr 24, 2024 14:01:16.844936000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"93","Apr 24, 2024 14:01:16.844936000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"94","Apr 24, 2024 14:01:16.844936000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"95","Apr 24, 2024 14:01:16.844936000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"96","Apr 24, 2024 14:01:16.844937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"97","Apr 24, 2024 14:01:16.844951000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"98","Apr 24, 2024 14:01:16.844993000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"99","Apr 24, 2024 14:01:16.844993000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"100","Apr 24, 2024 14:01:16.844993000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"101","Apr 24, 2024 14:01:16.844993000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"102","Apr 24, 2024 14:01:16.845089000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"103","Apr 24, 2024 14:01:16.846844000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"104","Apr 24, 2024 14:01:16.846844000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"105","Apr 24, 2024 14:01:16.846845000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"106","Apr 24, 2024 14:01:16.846845000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"107","Apr 24, 2024 14:01:16.846886000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"108","Apr 24, 2024 14:01:16.846886000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"109","Apr 24, 2024 14:01:16.846886000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"110","Apr 24, 2024 14:01:16.846937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"111","Apr 24, 2024 14:01:16.846937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"112","Apr 24, 2024 14:01:16.846937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"113","Apr 24, 2024 14:01:16.846937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"114","Apr 24, 2024 14:01:16.846938000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"115","Apr 24, 2024 14:01:16.846968000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"116","Apr 24, 2024 14:01:16.846987000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"117","Apr 24, 2024 14:01:16.846988000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"118","Apr 24, 2024 14:01:16.846988000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"119","Apr 24, 2024 14:01:16.846988000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"120","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"121","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"122","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"123","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"124","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"125","Apr 24, 2024 14:01:16.847099000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"126","Apr 24, 2024 14:01:16.847130000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"127","Apr 24, 2024 14:01:16.847589000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"128","Apr 24, 2024 14:01:16.847648000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"129","Apr 24, 2024 14:01:16.847786000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"130","Apr 24, 2024 14:01:16.847786000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"131","Apr 24, 2024 14:01:16.847786000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"132","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"133","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"134","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"135","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"136","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"137","Apr 24, 2024 14:01:16.847843000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"138","Apr 24, 2024 14:01:16.847880000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"139","Apr 24, 2024 14:01:16.847881000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"140","Apr 24, 2024 14:01:16.847881000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"141","Apr 24, 2024 14:01:16.847881000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"142","Apr 24, 2024 14:01:16.847933000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"143","Apr 24, 2024 14:01:16.847975000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"144","Apr 24, 2024 14:01:16.848216000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"145","Apr 24, 2024 14:01:16.848291000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"146","Apr 24, 2024 14:01:16.848391000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"147","Apr 24, 2024 14:01:16.848391000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
