frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,frame.protocols
"102","1714740792.785254000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","164","eth:ethertype:ip:udp:data"
"103","1714740792.785291000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"104","1714740792.790423000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","142.250.185.182","17","283","eth:ethertype:ip:udp:data"
"105","1714740792.793589000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","142.250.185.182","172.16.31.14","17","188","eth:ethertype:ip:udp:data"
"106","1714740792.793656000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","142.250.185.182","172.16.31.14","17","66","eth:ethertype:ip:udp:data"
"107","1714740792.793780000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","143","eth:ethertype:ip:udp:data"
"108","1714740792.793781000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","142.250.185.182","17","78","eth:ethertype:ip:udp:data"
"109","1714740792.793856000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"110","1714740792.796768000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","86","eth:ethertype:ip:udp:data"
"111","1714740792.798560000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1391","eth:ethertype:ip:udp:data"
"112","1714740792.798560000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"113","1714740792.798561000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","686","eth:ethertype:ip:udp:data"
"114","1714740792.798761000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"115","1714740792.799855000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1391","eth:ethertype:ip:udp:data"
"116","1714740792.800038000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"117","1714740792.800039000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"118","1714740792.800039000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"119","1714740792.800039000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","267","eth:ethertype:ip:udp:data"
"120","1714740792.800211000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"121","1714740792.821395000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","173.194.182.105","17","1399","eth:ethertype:ip:udp:quic:tls"
"122","1714740792.822371000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","142.250.185.182","172.16.31.14","17","69","eth:ethertype:ip:udp:data"
"123","1714740792.823286000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","173.194.182.105","17","326","eth:ethertype:ip:udp:quic"
"124","1714740792.826610000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","1399","eth:ethertype:ip:udp:quic:tls"
"125","1714740792.826772000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","1399","eth:ethertype:ip:udp:quic"
"126","1714740792.826772000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","1399","eth:ethertype:ip:udp:quic"
"127","1714740792.826821000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","1399","eth:ethertype:ip:udp:quic"
"128","1714740792.826821000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","241","eth:ethertype:ip:udp:quic"
"129","1714740792.828217000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","173.194.182.105","17","188","eth:ethertype:ip:udp:quic"
