frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len
"118","1713960076.846988000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"119","1713960076.846988000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"120","1713960076.847042000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"121","1713960076.847042000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"122","1713960076.847042000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"123","1713960076.847042000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"124","1713960076.847042000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"125","1713960076.847099000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"126","1713960076.847130000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"127","1713960076.847589000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"128","1713960076.847648000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"129","1713960076.847786000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"130","1713960076.847786000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"131","1713960076.847786000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"132","1713960076.847833000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"133","1713960076.847833000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"134","1713960076.847833000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","954"
"135","1713960076.847833000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1392"
"136","1713960076.847833000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"137","1713960076.847843000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"138","1713960076.847880000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"139","1713960076.847881000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"140","1713960076.847881000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"141","1713960076.847881000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"142","1713960076.847933000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"143","1713960076.847975000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"144","1713960076.848216000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"145","1713960076.848291000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"146","1713960076.848391000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"147","1713960076.848391000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"148","1713960076.848391000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"149","1713960076.848439000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"150","1713960076.848439000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
