requestStart,requestEnd,duration,durationNetto,downLinkBytes,downLinkPackets,upLinkBytes,upLinkPackets,port,requestSize,protocol,stalling,qc,qcFrom,qcTo,phase,bhfirst,bhlast,bhmin,bhmax,bhmean,bhstd,videoid
2020-02-14 09:07:53.394920111,2020-02-14 09:07:54.344241858,0 days 00:00:00.949321747,0 days 00:00:00.932188987,62238.0,48,949.0,25,38471.0,751.0,udpnew,0,0,242,0,depletion,82696,82696,82696,82696,82696.0,0.0,jcgcswfv-6A
2020-02-14 09:07:54.344241858,2020-02-14 09:07:55.296360016,0 days 00:00:00.952118158,0 days 00:00:00.928979158,62130.0,47,986.0,26,38471.0,751.0,udpnew,0,0,242,0,depletion,92726,92726,92726,92726,92726.0,0.0,jcgcswfv-6A
2020-02-14 09:07:55.296360016,2020-02-14 09:07:55.559112072,0 days 00:00:00.262752056,0 days 00:00:00.246950149,27275.0,21,418.0,11,38471.0,758.0,udpnew,0,0,242,0,depletion,92726,92726,92726,92726,92726.0,0.0,jcgcswfv-6A
2020-02-14 09:07:55.559112072,2020-02-14 09:08:00.124611855,0 days 00:00:04.565499783,0 days 00:00:04.546869040,553656.0,417,7678.0,204,38471.0,759.0,udpnew,0,0,242,0,depletion,454,32709,454,32709,24720.2,13617.775394681761,jcgcswfv-6A
2020-02-14 09:08:00.124611855,2020-02-14 09:08:02.481759071,0 days 00:00:02.357147216,0 days 00:00:02.335080385,286294.0,215,3998.0,106,38471.0,754.0,udpnew,0,0,242,0,filling,34193,37037,34193,37037,35615.0,2011.0116856945413,jcgcswfv-6A
2020-02-14 09:08:02.481759071,2020-02-14 09:08:05.639670134,0 days 00:00:03.157911063,0 days 00:00:03.134879113,383492.0,288,5386.0,143,38471.0,761.0,udpnew,0,0,242,0,filling,40991,44078,40991,44078,42571.666666666664,1544.8418473530983,jcgcswfv-6A
2020-02-14 09:08:05.639670134,2020-02-14 09:08:07.451086998,0 days 00:00:01.811416864,0 days 00:00:01.794506788,219702.0,165,3097.0,82,38471.0,761.0,udpnew,0,0,242,0,filling,47339,51278,47339,51278,49308.5,2785.293611093811,jcgcswfv-6A
2020-02-14 09:08:07.451086998,2020-02-14 09:08:09.391488075,0 days 00:00:01.940401077,0 days 00:00:01.920585871,236083.0,178,3319.0,88,38471.0,761.0,udpnew,0,0,242,0,filling,55757,58316,55757,58316,57036.5,1809.486253056375,jcgcswfv-6A
2020-02-14 09:08:09.391488075,2020-02-14 09:08:10.541934967,0 days 00:00:01.150446892,0 days 00:00:01.128927945,139332.0,104,1998.0,53,38471.0,761.0,udpnew,0,0,242,0,filling,63754,63754,63754,63754,63754.0,0.0,jcgcswfv-6A
2020-02-14 09:08:10.541934967,2020-02-14 09:08:11.252367020,0 days 00:00:00.710432053,0 days 00:00:00.682723999,85331.0,64,1285.0,34,38471.0,754.0,udpnew,0,0,242,0,filling,71698,71698,71698,71698,71698.0,0.0,jcgcswfv-6A
